TableStart	Proposal Formats															
ColumnHeadingsStart	Humanoid	Etherean	Geodic	Cybernetik	Ichthytosian	Harvesters	Insectoid	Saurian	Metashifters	Non-Corporeal	Protoplasmic	Plant	Fungal	Avian	Gargantua	Format
RowHeadingsStart																
1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB SPACE %ACT SPACE %ADV COMSP CLQUOT %LED WE %STY %ITM %FOL CLQUOT
2	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB SPACE %ACT SPACE %ADV COMSP CLQUOT  %LED WE %STY %ITM PERIOD CLQUOT
3	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB SPACE %ACT SPACE %ADV COMSP CLQUOT  %LED WE %STY %QUOT PERIOD CLQUOT
4	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB SPACE %ACT SPACE %ADV COMSP CLQUOT WE %STY %ITM %FOL CLQUOT
5	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB SPACE %ACT SPACE %ADV COMSP CLQUOT  WE %STY %ITM  %FOL CLQUOT
6	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP SPACE %GER SPACE %ADV SPACE SAYS COMSP SPACE CLQUOT  %LED WE %STY %QUOT %FOL CLQUOT
7	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP SPACE %GER SPACE %ADV SPACE SAYS COMSP SPACE CLQUOT  %LED WE %STY %ITM %FOL CLQUOT
8	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP SPACE %GER SPACE %ADV SPACE SAYS COMSP SPACE CLQUOT  %LED WE %STY %ITM PERIOD CLQUOT
9	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP SPACE %GER SPACE %ADV SPACE SAYS COMSP SPACE CLQUOT  %LED WE %STY %QUOT PERIOD CLQUOT
10	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB COMSP SPACE %GER SPACE %ADV SPACE SAYS COMSP SPACE CLQUOT  WE %STY %ITM %FOL CLQUOT
11	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	%AMB SPACE %GER SPACE %ADV COMSP SPACE SAYS COMSP SPACE CLQUOT  WE %STY %ITM PERIOD CLQUOT
12	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %QUOT PERIOD %CLQUOT3 SAYS SPACE %AMB COMSP %GER SPACE %ADV PERIOD
13	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %ITM PERIOD %CLQUOT3 SAYS SPACE %AMB COMSP %GER SPACE %ADV PERIOD
14	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %ITM  %FOL SAYS2 %AMB COMSP %GER SPACE %ADV PERIOD
15	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %QUOT  %FOL SAYS2 %AMB COMSP %GER SPACE %ADV PERIOD
16	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	WE3 %STY %ITM %FOL CLQUOT3 SAYS SPACE %AMB COMSP %GER SPACE %ADV PERIOD
17	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	WE3 %STY %ITM PERIOD SAYS2 %AMB COMSP %GER SPACE %ADV PERIOD
18	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %QUOT %FOL CLQUOT3 SAYS SPACE %AMB COMSP %ADV SPACE %GER PERIOD
19	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %ITM %FOL CLQUOT3 SAYS SPACE %AMB COMSP %ADV SPACE %GER PERIOD
20	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %ITM PERIOD SAYS2 %AMB COMSP %ADV SPACE %GER PERIOD
21	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %QUOT PERIOD SAYS2 %AMB COMSP %ADV SPACE %GER PERIOD
22	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	WE3 %STY %ITM %FOL CLQUOT3 SAYS SPACE %AMB COMSP %ADV SPACE %GER PERIOD
23	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	WE3 %STY %ITM PERIOD SAYS2 %AMB COMSP %ADV SPACE %GER PERIOD
24	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %QUOT %FOL CLQUOT3 SAYS SPACE %AMB COMSP %GER PERIOD
25	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %ITM %FOL CLQUOT3 SAYS SPACE %AMB COMSP %GER PERIOD
26	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %ITM PERIOD SAYS2 %AMB COMSP %GER PERIOD
27	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %QUOT PERIOD SAYS2 %AMB COMSP %GER PERIOD
28	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	WE3 %STY %ITM %FOL CLQUOT3 SAYS SPACE %AMB COMSP %GER PERIOD
29	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	WE3 %STY %ITM %FOL SAYS2 %AMB COMSP %GER PERIOD
30	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %QUOT %FOL SAYS2 %AMB SPACE %ADV PERIOD
31	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %ITM %FOL SAYS2 %AMB SPACE %ADV PERIOD
32	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %ITM PERIOD SAYS2 %AMB SPACE %ADV PERIOD
33	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %QUOT PERIOD SAYS2 %AMB SPACE %ADV PERIOD
34	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	WE3 %STY %ITM %FOL SAYS2 %AMB SPACE %ADV PERIOD
35	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	WE3 %STY %ITM PERIOD SAYS2 %AMB SPACE %ADV PERIOD
36	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %QUOT %FOL SAYS2 %AMB PERIOD
37	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	CLQUOT %LED WE %STY %ITM %FOL SAYS2 %AMB PERIOD
