TableStart	LeadIns												
ColumnHeadingsStart	Tag	Level1	Level2	Level3	Level4	Level5	Define Value	Define Value2	Define Type	Choice1	Choice2		
RowHeadingsStart													
1		Speak Softly											
2			Propose										
3	Embassy			Exchange Embassies						LEAD641	LEAD642		
4	Nonaggression			Non-aggression Pact					pact	LEAD011	LEAD012		
5				Spheres of Influence									
6	SphereOurs				Ours		System		diplomatic offer	LEAD021	LEAD022		?
7	SphereYours				Yours		System		diplomatic offer	LEAD031	LEAD032		?
8				Trade Agreement						LEAD031			
9	TradeEconomic				Economic				treaty	LEAD041	LEAD042		
10	TradeAntiPirate				Anti-Piracy				treaty	LEAD051	LEAD052		
11	TradeOpenBorder				Open Border				treaty	LEAD061	LEAD062		
12	TradeResearch				Research					LEAD651	LEAD652		
13	TradeIntelligence				Intelligence					LEAD661	LEAD662		
14	DefensiveAlliance			Defensive Military Alliance					alliance offer	LEAD071	LEAD072		
15	FullAlliance			Full Military Alliance					alliance offer	LEAD092	LEAD082		
16				Create Faction/Invite New Member			Team		diplomatic offer / invitation	LEAD091	LEAD092		
17				Political Union/Invite New Member			Team		diplomatic offer / invitation	LEAD101	LEAD102		
18			Exchange										
19				This/These									
20	GiveMoney				Money		Credits		trade offer	LEAD111	LEAD112		
21	GiveTerritory				Territory		System		trade offer	LEAD121	LEAD122		?
22	GiveTechnology				Technology		Tech		trade offer	LEAD131	LEAD132		?
23					Strategic Mineral Access		Mineral		trade offer	LEAD141	LEAD142		
24	GiveShips				Ships		Quantity	Ships	trade offer	LEAD151	LEAD152		?
25					Star Maps				trade offer	LEAD161	LEAD162		
26					Military Intelligence				trade offer	LEAD171	LEAD172		
27	GiveSupport				Support for next leadership vote in Orion Senate				trade offer	LEAD181	LEAD182		?
28	GiveVote				Yes/no vote for a specific pending Lex Galactica Bill		Vote	Bill	trade offer	LEAD191	LEAD192		?
29	GiveSanctions3P				We Impose Sanctions on 3rd party					LEAD671	LEAD672		
