TableStart	OfferPhrases													
ColumnHeadingsStart	Tag	Level1	Level2	Level3	Level4	Level5	Define Value	Define Value2	Define Type	Choice1	Choice2	Choice3	Choice4	
RowHeadingsStart														
1		Speak Softly												
2			Propose											
3	Embassy			Exchange Embassies					embassy	EMB101	EMB102	EMB103	EMB104	
4	Nonaggression			Non-aggression Pact					pact	OFFR103	OFFR102	OFFR101	OFFR104	
5				Spheres of Influence										
6	SphereOurs				Ours		System		diplomatic offer	OFFR111	OFFR112	OFFR113	OFFR114	?
7	SphereYours				Yours		System		diplomatic offer	OFFR121	OFFR122	OFFR123	OFFR124	?
8				Trade Agreement										
9	TradeEconomic				Economic				treaty	OFFR131	OFFR132	OFFR133	OFFR134	
10	TradeAntiPirate				Anti-Piracy				treaty	OFFR141	OFFR142	OFFR143	OFFR144	
11	TradeOpenBorder				Open Border				treaty	OFFR151	OFFR152	OFFR153	OFFR154	
12	TradeResearch				Research				treaty	OFFR1033	OFFR1032	OFFR1031	OFFR1034	
13	TradeIntelligence				Intelligence				treaty	OFFR1043	OFFR1042	OFFR1041	OFFR1044	
14	DefensiveAlliance			Defensive Military Alliance					alliance offer	OFFR161	OFFR162	OFFR163	OFFR164	
15	FullAlliance			Full Military Alliance					alliance offer	OFFR174	OFFR172	OFFR173	OFFR171	
16				Create Faction/Invite New Member			Team		diplomatic offer / invitation	OFFR181	OFFR182	OFFR183	OFFR184	
17				Political Union/Invite New Member			Team		diplomatic offer / invitation	OFFR191	OFFR192	OFFR193	OFFR194	
18			Exchange											
19				This/These										
20	GiveMoney				Money		Credits		trade offer	OFFR201	OFFR202	OFFR203	OFFR204	
21	GiveTerritory				Territory		System		trade offer	OFFR211	OFFR212	OFFR213	OFFR214	?
22	GiveTechnology				Technology		Tech		trade offer	OFFR221	OFFR222	OFFR223	OFFR224	?
23					Strategic Mineral Access		Mineral		trade offer	OFFR231	OFFR232	OFFR233	OFFR234	
