"Row headings are a list of all the modifiers in the game.  UpOrDown is a minus sign to note that for this modifier, a lower value is better than a higher value."										
"A plus sign notes the opposite.  A '!' means this 'modifier' is just information, not a real modification. "										
Scale Factor is a number that gets multiplied with the modifier value to give us a number relative to 100 for the AI to know how much a modifier helps or hurts.										
Base Priority is used by the AI to assign initial priorities to the modifiers										

"The columns for Peace and Prosperity, Peace Through Strength, Limited War, Total War and Holy War are the priorities given to this modifier"										
"when the planet AI is deciding what to build, depending on the political economy setting"										

TableStart	Modifier Scale									
ColumnHeadingsStart	UpOrDown	Scale Factor	Base Priority	Peace and Prosperity	Peace Through Strength	Limited War	Total War	Holy War		
RowHeadingsStart										
BaseEmph	+	20	1	0	0	0	0	0	AI	Affects number of lottery balls in the Colonial Decision Lottery
DecLotND	-	20	1	0	0	0	0	0	AI	"AI Decision Lottery ball, No decision"
DecLotOp	-	20	1	0	0	0	0	0	AI	"AI Decision Lottery ball, Opposite Decision"
mAddGold	!	0	1	0	0	0	0	0	Bank	
Cost	-	20	1	0	0	0	0	0	Building	
mBuildAU	!	0	1	0	0	0	0	0	Building	
mMaintAU	!	0	1	0	0	0	0	0	Building	
ScrapVal	+	2	0	0	0	0	0	0	Building	Modifies Scrap Values
Employee	+	100	1	0	0	0	0	0	Building	Number of employees used
LeadCorr	-	20	1	0	0	0	0	0	Corruption	Leader Corruption Modifier
DEACost	!	0	1	0	0	0	0	0	DEA-All	
DEAFarm	+	1	1	1	1	1	1	1	DEA	Information modifier. To say that a build item is a DEA
DEAMine	+	1	1	1	1	1	1	1	DEA	Information modifier. To say that a build item is a DEA
DEAManu	+	1	1	1	1	1	1	1	DEA	Information modifier. To say that a build item is a DEA
DEAResea	+	1	1	1	1	1	1	1	DEA	Information modifier. To say that a build item is a DEA
DEAGov	+	1	1	1	1	1	1	1	DEA	Information modifier. To say that a build item is a DEA
DEAMil	+	1	1	1	1	1	1	1	DEA	Information modifier. To say that a build item is a DEA
DEARec	+	1	1	1	1	1	1	1	DEA	Information modifier. To say that a build item is a DEA
DEASPort	+	1	1	1	1	1	1	1	DEA	Information modifier. To say that a build item is a DEA
BioHaEff	+	20	1	1	1	1	1	1	DEA-Farm	Bioharvest DEA efficiency
BioHaCap	+	20	1	1	1	1	1	1	DEA-Farm	Bioharvest DEA capacity
BioprPop	+	10	0	1	1	1	1	1	DEA-Farm	Bioharvest per population point
BioHRare	+	20	1	0	0	0	0	0	DEA-Farm	Bioharvest Rare monetary income
BioHaSur	+	20	1	0	0	0	0	0	DEA-Farm	Bioharvest Surplus value
