Format block usage						
Message type		Uses format list				

Variable list - Variables in ALL CAPS are types of a format block; others are embedded or secondary variables						
TableStart	Definitions					
ColumnHeadingsStart	Content	Tablename			Notes	TableType
RowHeadingsStart						
%race1%	Race involved with this report	n/a				0
%race2%	Race involved with this report	n/a				0
%REPORT	The text of whatever event has occurred	ReportType				16
%subject%	The subject of this report	n/a				0
%value1%	Misc text value 1	n/a				0
%value2%	Misc text value 2	n/a				0
%value3%	Misc text value 3	n/a				0
TableEnd						


TableStart	Sitrep Formats						
ColumnHeadingsStart	Format						
RowHeadingsStart							
1	%REPORT						
TableEnd							

"Note: If you change the number of columns in front of the text tags, the code needs to be updated to reflect this (look for NUM_COLUMNS_BEFORE_TEXT_TAGS in SitrepReporter.cpp). "							

TableStart	ReportType						
ColumnHeadingsStart	Type	Priority	Class	Icon	TextTag	TextTag2	TextTag3
RowHeadingsStart							
SpaceCombat	New	Event	Reg	ICO_SitRep_SpaceCombat	SITRF001	SITRF002	SITRF003
ResearchBreakthrough	New	Yellow	Reg	sitrep_tech	SITRF004	SITRF005	SITRF006
TechPrototype	New	Yellow	Tech_Brkthru	sitrep_tech	SITRF007	SITRF007	SITRF007
TechTheoreticalComplete	New	Green	Tech_Brkthru	sitrep_tech	SITRF008	SITRF008	SITRF008
TechProjectComplete	New	Red	Reg	sitrep_tech	SITRF009	SITRF009	SITRF009
TechPositiveOverrun	New	Red	Tech_Brkthru	sitrep_tech	SITRF010	SITRF010	SITRF010
TechOverrun	New	Red	Tech_Brkthru	sitrep_tech	SITRF011	SITRF011	SITRF011
TechStartProject	New	Yellow	Tech_Brkthru	sitrep_tech	SITRF019	SITRF019	SITRF019
TechCancelProject	New	Red	Tech_Brkthru	sitrep_tech	SITRF020	SITRF020	SITRF020
TechProjectVisible	New	Green	Tech_Brkthru	sitrep_tech	SITRF021	SITRF021	SITRF021
TechProjectAvailable	New	Green	Tech_Brkthru	sitrep_tech	SITRF022	SITRF022	SITRF022
