//this is the file in the game directory; when done modifying, delete this comment
TableStart	TechSchools																				
ColumnHeadingsStart	kUnicode	Type_ID																			
RowHeadingsStart																					
Economics & Business	SchEconB	EB																			
Energy	SchEnerg	EN																			
Biological Sciences	SchBioSc	BS																			
Mathematics & Computers	SchMathm	MC																			
Physical Sciences	SchPhySc	PS																			
Social Arts & Science	SchSocal	SS																			
TableEnd																					


TableStart	SpeciesPrefs																				
ColumnHeadingsStart	Humanoid	Etherean	Geodic	Cybernetic	Ichthytosian	Harvesters	Insectoid	Sauron	Metashifters	NonCorporeal	Protoplasmic	Plant	Fungal	Avian	Gargantua	Bulrathi	Mrrshan	Elerian	Gnolam	ElderCivs	ComBot
RowHeadingsStart																					
School_ID	EB	None	BS	MC	PS	SS	EB	EN	BS	MC	PS	SS	SS	EB	EN	BS	MC	PS	BS	MC	PS																																																																																																																																																																																																																																								
TTL	70	30	50	80	40	55	40	50	50	60	65	60	75	45	55	55	55	55	55	55	55																																																																																																																																																																																																																																								
TAR	12	10	6	15	6	8	5	8	12	8	9	7	3	5	9	9	9	9	9	9	9																																																																																																																																																																																																																																								
EB	5	4	5	4	5	4	3	5	4	3	4	4	3	5	5	5	5	5	5	5	5																																																																																																																																																																																																																																								
EN	5	5	4	5	5	5	5	3	3	3	5	3	3	4	4	4	4	4	4	4	4																																																																																																																																																																																																																																								
BS	4	3	4	4	3	5	3	5	4	4	3	5	4	3	4	4	4	4	4	4	4																																																																																																																																																																																																																																								
MC	4	4	3	5	4	4	4	4	3	4	5	5	5	4	5	5	5	5	5	5	5																																																																																																																																																																																																																																								
PS	3	5	5	3	4	3	5	3	5	5	3	4	4	3	3	3	3	3	3	3	3																																																																																																																																																																																																																																								
SS	3	3	3	3	3	3	4	4	5	5	4	3	5	5	3	3	3	3	3	3	3																																																																																																																																																																																																																																								
TableEnd																					


TableStart	TechFields																				
ColumnHeadingsStart	kUnicode	kUnicodD	Type_ID	School_Catagories	IconName	Field_Dependencies	Research_Cost_Multiplier	Research_Cost_Exponent_Base													
RowHeadingsStart																					
Antaran	TFAntaran	FDAntaran	Antar	EN	TFAntarn		1000	1.175													
Economics & Business	SchEconB	FDEcnBus	Ecnmy	EB	TFEconom		85	1.155													
Energy	SchEnerg	FDEnergy	Energ	EN	TFEneFie		85	1.155
Biological Sciences	SchBioSc	FDBioSci	BioSc	BS	TFXenBio		85	1.155
Mathematics & Computers	SchMathm	FDMathCm	MthCm	MC	TFNumThe		85	1.155
Physical Sciences	SchPhySc	FDPlySci	Const	PS	TFConstr		85	1.155
Social Arts & Science	SchSocal	FDSocSci	SocSc	SS	TFCulEnh		85	1.155
TableEnd								  


TableStart	ApplicationsClasses							
ColumnHeadingsStart	kUnicode	kUnicodD	Type_ID	Pick_Limit				
RowHeadingsStart								
Ship Hull Base	ACShHulB	CDShHulB	ShipHull	0	// Must pick exactly one			
Ship Hull Option	ACShHulO	CDShHulO	ShHulOpt	1	// May pick one.			
Ship Special	ACShSpec	CDShSpec	ShipItem	3	// May pick many but no Duplicates			
Ship Special Weapon	ACShSpec	CDShSpec	ShpMItem	2	// May pick many			
Ship Weapon System	ACShHulW	CDShHulW	ShWepSys	2	// May pick many			
Unit Equipment	ACUnitEq	CDUnitEq	UnitEqip	2	// May pick many (Does not really apply to non-military)
Weapon Size Option	ACWepSiz	CDWepSiz	WSOpt	0	// Must pick exactly one
Weapon Facing Option	ACWepFac	CDWepFCD	WpnFacOp	2	// May pick many (4 options shown on UI)
Weapon Mounting option	ACWepMnt	CDWepMnt	WpnMntOp	0	// Must pick exactly one
Missile Warhead	ACWarHed	CDWarHed	Warheads	2	// May pick many
Warhead Mod	ACWarMod	CDWarMod	WarhdMod	2	// May pick many
Missile Chassis	ACChasis	CDChasis	MslChass	2	// May pick many
Missile Chassis Option	ACChasOp	CDChasOp	MslChOpt	2	// May pick many
Missile Rack	TAMisRak	TBMisRak	TAMISRAK	2	// May pick many
Fighter Chassis	None	None	FtrChass	2	// May pick many
Fighter Chassis Option	None	None	FtrChOpt	2	
Fighter Weapon	None	None	FtrWeapn	0	
Fighter Weapon Option	None	None	FtrWpMod	2	
Ship Required System	ACShRqSy	CDShRqSy	ShReqSys	3	// Must Pick All
Ship Sub-Light Engine	ACShpEng	CDShpEng	ShEngine	0	// Must pick exactly one
Ship Engine Max Speed	ACMaxSpd	CDMaxSpd	ShEngSpd	0	// Must pick exactly one
Ship Warp Drive	ACShpWrp	CDShpWrp	ShipWarp	0	// Must pick exactly one
Armor Type	ACArmrTp	CDArmrTp	ArmorCls	0	// Must pick exactly one
Armor Thickness	ACArmThk	CDArmThk	ArmorThk	0	// Must pick exactly one
Planet Economy Build	ACPlanEc	CDPlanEc	PlanEcon	2	// May pick many (Does not really apply to non-military)
Planet Security Build	ACPlanSe	CDPlanSe	PlanSecu	2	// May pick many (Does not really apply to non-military)
Planet Planetary Build	ACPlanPl	CDPlanPl	PlanPlan	2	// May pick many (Does not really apply to non-military)
System Economy Build	ACSystEc	CDSystEc	SystEcon	2	// May pick many (Does not really apply to non-military)
System Social Build	ACSystEd	CDSystEd	SystSoci	2	// May pick many (Does not really apply to non-military)
System Security Build	ACSystSe	CDSystSe	SystSecu	2	// May pick many (Does not really apply to non-military)
Shield Technology	ACSldTch	CDSldTch	ShldTech	1	// May pick one.
Shield Generator Size	ACSldSiz	CDSldSiz	ShdGenSz	1	// May pick one.
Warp Boost Tech	ACWrpBst	CDWrpBst	WrpBstTk	2	// May pick many (Does not really apply to non-military)
Weapon Modification	ACWepMod	CDWepMod	ShWepMod	2	// May pick many (Does not really apply to non-military)
Achievement	ACAchiev	CDAchiev	Achieve	2	//May pick many (Does not really apply to non-military
TableEnd					

" //application_class, Type_ID, individual sort tags, kUnicode and kUnicodD should be 8 characters or less "																								
" //application_class - for items that go into a build queue, specifies the build queue in which they are built "																								
//sort tag -  for items that go into a build queue. Specifies where the item goes when it's built																								
TableStart	TechApplications																							
ColumnHeadingsStart	kUnicode	kUnicodD	kUnicdLg	Sort_Tag	Type_ID	Application_Class	Field_Dependencies	IconName	Global_Tags	Tag_Values														
RowHeadingsStart																								
Self sufficiency	TASelfSf	TBSelfSf	None	" Achieve, KEEPTHIS, Human, Evon, Psilon, Imsaeis, Eoladi, Trilarian, Nommo, Ithkul, Klackon, Tachidi, Sakkra, Raas, Grendarl, Ant, NoTrade "	SelfSuff	Achieve	Ecnmy_00	ICO_SitRep_ScientificSymposium	None	" BioprPop+=0.025, MinprPop+=0.025 , teclvl = 00, SelfSuff = 1"														
Silicoid self sufficiency	TASelfSS	TBSelfSS	None	" Achieve, KEEPTHIS, Silicoid, NoTrade "	SelfSufS	Achieve	Const_00	ICO_SitRep_ScientificSymposium	None	"MinprPop+=0.05, teclvl = 00, SelfSufS = 1"														
Meklar self sufficiency	TASelfSM	TBSelfSM	None	" Achieve, KEEPTHIS, Meklar, NoTrade "	SelfSufM	Achieve	Const_00	ICO_SitRep_ScientificSymposium	None	" BioprPop+=0.00625, MinprPop+=0.04375 , teclvl = 00, SelfSufM = 1"														
Cynoid self sufficiency	TASelfSC	TBSelfSC	None	" Achieve, KEEPTHIS, Cynoid, NoTrade "	SelfSufC	Achieve	BioSc_00	ICO_SitRep_ScientificSymposium	None	" BioprPop+=0.0125, MinprPop+=0.0375 , teclvl = 00, SelfSufC = 1"														
Improved Self sufficiency	TASlfSf2	TBSlfSf2	None	" Achieve, KEEPTHIS, Human, Evon, Psilon, Imsaeis, Eoladi, Trilarian, Nommo, Ithkul, Klackon, Tachidi, Sakkra, Raas, Grendarl, Ant, NoTrade "	SlfSuff2	Achieve	Ecnmy_20	ICO_SitRep_ScientificSymposium	None	" BioprPop+=0.025, MinprPop+=0.025 , teclvl = 20, SlfSuff2 = 2"														
Improved Silicoid self sufficiency	TASlfSS2	TBSlfSS2	None	" Achieve, KEEPTHIS, Silicoid, NoTrade "	SlfSufS2	Achieve	Const_20	ICO_SitRep_ScientificSymposium	None	"MinprPop+=0.05, teclvl = 20, SlfSufS2 = 2"														
Improved Meklar self sufficiency	TASlfSM2	TBSlfSM2	None	" Achieve, KEEPTHIS, Meklar, NoTrade "	SlfSufM2	Achieve	Const_20	ICO_SitRep_ScientificSymposium	None	" BioprPop+=0.00625, MinprPop+=0.04375 , teclvl = 20, SlfSufM2 = 2"														
Improved Cynoid self sufficiency	TASlfSC2	TBSlfSC2	None	" Achieve, KEEPTHIS, Cynoid, NoTrade "	SlfSufC2	Achieve	BioSc_20	ICO_SitRep_ScientificSymposium	None	" BioprPop+=0.0125, MinprPop+=0.0375 , teclvl = 20, SlfSufC2 = 2"														
Armor I	TAArmr01	TBArmr01	SDArmInf	" Ship, Military, KEEPTHIS "	ArmTitan	ArmorCls	Const_00	Armor	None	" SystCost = 10, ArmorVal = 100, Deflects = 2 , teclvl = 00, ArmTitan = 1"														1
Armor II	TAArmr02	TBArmr02	SDArmInf	" Ship, Military "	ArmTritn	ArmorCls	Const_15	Armor	None	" SystCost = 30, ArmorVal = 200, Deflects = 4 , teclvl = 15, ArmTritn = 1"														2
Armor III	TAArmr03	TBArmr03	SDArmInf	" Ship, Military "	ArmTrziu	ArmorCls	Const_25	Armor	None	" SystCost = 50, ArmorVal = 300, Deflects = 6 , teclvl = 25, ArmTrziu = 1"														
Armor IV	TAArmr04	TBArmr04	SDArmInf	" Ship, Military "	ArmZorti	ArmorCls	Const_35	Armor	None	" SystCost = 70, ArmorVal = 400, Deflects = 8 , teclvl = 35, ArmZorti = 1"														3
Armor V	TAArmr05	TBArmr05	SDArmInf	" Ship, Military "	ArmRodni	ArmorCls	Const_45	Armor	None	" SystCost = 100, ArmorVal = 500, Deflects = 10 , teclvl = 45, ArmRodni = 1"														
Armor VII	TAArmr07	TBArmr07	SDArmInf	" Ship, Military "	ArmNeutr	ArmorCls	Const_56	Armor	None	" SystCost = 150, ArmorVal = 700, Deflects = 14 , teclvl = 56, ArmNeutr = 1"														4
Armor VIII	TAArmr08	TBArmr08	SDArmInf	" Ship, Military "	ArmTungr	ArmorCls	Const_67	Armor	None	" SystCost = 200, ArmorVal = 1100, Deflects = 16 , teclvl = 67, ArmTungr = 1"														
Armor X	TAArmr10	TBArmr10	SDArmInf	" Ship, Military "	ArmAdama	ArmorCls	Const_78	Armor	None	" SystCost = 350, ArmorVal = 1500, Deflects = 20 , teclvl = 78, ArmAdama = 1"														5
No Armor	TANoArmr	TBNoArmr	ShipStnd	" Ship, Military, KEEPTHIS "	No_Armor	ArmorThk	Const_00	Armor	None	" SystCost *=0, ArmorVal *= 0, Deflects *= 0 , teclvl = 00, No_Armor = 1"														6
Very Light Armor	TAVltArm	TBVltArm	ShipStnd	" Ship, Military "	VLtArmor	ArmorThk	Const_05	Armor	None	" SystCost *= 0.75, ArmorVal *= 0.50, Deflects *= 0.5 , teclvl = 05, VLtArmor = 1"														7
Silicoid 1(Crystal Armor)	TASili00	TBSili00	ShipStnd	" Ship, Military, Silicoid, Ant, KEEPTHIS "	Silico00	ArmorThk	Const_03	Armor	None	" SystCost *= 0.75, ArmorVal *= 0.8, Deflects *= 0.7 , teclvl = 03, Silico00 = 00"														
Light Armor	TALitArm	TBLiTArm	ShipStnd	" Ship, Military "	LitArmor	ArmorThk	Const_05	Armor	None	" SystCost *= 1.00, ArmorVal *= 1.00, Deflects *= 0.66 , teclvl = 05, LitArmor = 1"														8
Medium Armor	TAMedArm	TBMedArm	ShipStnd	" Ship, Military "	MedArmor	ArmorThk	Const_19	Armor	None	" SystCost *= 3.00, ArmorVal *= 2.00, Deflects *= 1 , teclvl = 19, MedArmor = 1"														9
Heavy Armor	TAHvyArm	TBHvyArm	ShipStnd	" Ship, Military "	HvyArmor	ArmorThk	Const_30	Armor	None	" SystCost *= 7.00, ArmorVal *= 4.00, Deflects *= 1.5 , teclvl = 30, HvyArmor = 1"														10
Very Heavy Armor	TAVhvArm	TBVhvArm	ShipStnd	" Ship, Military "	VHvArmor	ArmorThk	Const_49	Armor	None	" SystCost *= 12.00, ArmorVal *= 8.00, Deflects *= 1.75 , teclvl = 49, VHvArmor = 1"														11
