TableStart	Weapon Basic Information																										
ColumnHeadingsStart	FireDlay	Multfire	NearDamg	FarDamag	DmgDisSt	DmgDisEn	DmgDelta	MaxAccry	AccDisSt	AccDisEn	SystCost	UniSpace	ShldPen	ArmrPier	Visual	Type	Level	Weapon#	SizeFudge		m1	m2	Improved	cont	AF	AP	Env
RowHeadingsStart																											
Laser	2.5	1	7	1	4500	7000	6	0.7	4500	7000	5	10	1	1	101	Beam	1	0	1	"M1, M2, Improved, Armor Piercing, Autofire, Continuous, Drone"	2	2	2	2	2	2	
Mass Driver	2.5	1	14	3	4999	5000	0	0.5	4500	5000	9	15	1	1	9	Mass	1	1	1.1	"M1, M2, Improved, Armor Piercing, Autofire"	2	2	2		2	2	
Fusion Beam	2.5	1	36	2	4500	7000	29	0.8	4500	7000	20	17	1	1	26	Plasma	20	2	0.8	"M1, M2, Improved, Continuous, Enveloping"	24	24	24	24			24
Quark Cannon	2	2	10	10	4500	4510	0	0.9	4500	4510	10	7	0.9	1	109	Particle	20	3	1.2	"M1, M2, Improved, Continuous"	24	24	24	24			
Hard Beam	2.5	1	22	18	4500	10000	2	0.8	4500	10000	10	12	1	1	106	Beam	20	4	1	"M1, M2, Improved, Armor Piercing, Autofire, Continuous"	24	24	24	24	24	24	
Neutron Blaster	2.5	1	36	32	4500	13000	4	0.9	4500	13000	20	17	0.9	1	5	Particle	40	5	1.2	"M1, M2, Improved, Armor Piercing, Continuous"	44	44	44	44		44	
Rail Gun	2	3	15	8	5490	5500	0	0.9	4500	5500	17	12	1	1	16	Mass	40	6	1	"M1, M2, Improved, Armor Piercing"	44	44	44			44	
Hellfire Cannon	2.5	1	70	25	4500	9000	45	0.8	4500	9000	40	19	1	1	3	Plasma	40	7	0.8	"M1, M2, Improved, Continuous, Enveloping"	44	44	44	44			44
Graviton Beam	2.5	1	45	25	4500	13000	20	0.7	4500	13000	20	17	0.9	1	104	Particle	40	8	1.2	"M1, M2, Improved, Armor Piercing, Continuous"	44	44	44	44		44	
Phasors	2.5	1	100	80	10000	18000	20	1	10000	18000	42	20	1	1	105	Beam	60	9	1	"M1, M2, Improved, Continuous, Autofire, Armor Piercing"	44	44	44	44	44	44	
Plasma Cannon	2.5	1	215	20	4500	10000	192	0.8	4500	10000	80	30	1	1	4	Plasma	60	10	0.8	"M1, M2, Improved, Continuous, Enveloping"	64	64	64	64			64
Lightning Field Generator	2	4	36	36	4500	6500	0	0.9	4500	6500	23	10	0.7	0.7	2	Plasma	60	11	1								
Gauss Cannon	2.5	1	180	9	9999	10000	0	0.5	4500	10000	80	30	1	1	10	Mass	60	12	1	"M1, M2, Improved, Armor Piercing, Autofire"	64	64	64		64	64	
Dark Energy Beam	2.5	1	100	20	4500	18000	80	0.7	4500	18000	42	20	0.9	1	102	Particle	60	13	1.2	"M1, M2, Improved, Armor Piercing, Continuous"	64	64	64	64		64	
Disruptor Cannon	2.5	1	200	20	20000	21000	0	0.5	4500	21000	82	40	1	1	118	Mass	79	14	1.1	"M1, M2, Improved, Autofire, Armor Piercing"	83	83	83		83	83	
Disintegrater Beam	2.5	1	200	23	4500	21000	82	0.9	20000	21000	82	40	1	1	107	Beam	79	15	1	"M1, M2, Improved, Armor Piercing, Autofire, Continuous"	83	83	83	83	83	83	
Megabolt Cannon	2.5	1	320	20	4500	13000	300	0.7	4500	13000	160	45	1	1	1	Plasma	79	16	0.8	"M1, M2, Improved, Continuous, Enveloping"	83	83	83	83			83
Tachyon Beam	2.5	1	300	27	5000	13000	204	0.9	4500	13000	160	45	0.9	1	111	Particle	79	17	1.2	"M1, M2, Improved, Armor Piercing, Continuous"	83	83	83	83		83	
Ion Pulse Cannon	2	4	42	25	4500	10000	25	0.9	4500	10000	27	15	1	0.8	114	Beam	79	18	1	"M1, M2, Improved, Autofire"	82	82	82			82	
Dark Matter Projector	2.5	1	453	50	20732	24000	0	0.7	4500	24000	250	75	1	1	25	Mass	98	19	1	"M1, Armor Piercing, Autofire"	98				98	98	
Mauler	4	1	679	1	4500	15000	0	1	15000	15000	320	95	0.5	1	27	Plasma	98	20	0.8	M1	98						
Stellar Converter	8	1	1000	200	4500	28000	0	1	27999	28000	666	460	1	1	119	Beam	98	21	2.5								
Particle Beam	2	1	120	10	4500	16000	39	0.9	4500	16000	33	18	0.1	0.9	7	Particle	20	22	1.2								
Death Ray	2	1	357	50	4500	24000	107	0.9	4500	24000	105	45	0.8	0.7	103	Particle	35	23	1.2								
KhorAh Spinner	4	1	800	20	4500	15000	780	0.5	4500	15000	453	113	0.5	1	22	Mass	98	24	0.8								
Invasion pods	20	2	0	0	0	0	0	1	0	0	250	100	1	1	22	Mass	98	25	1	 							
TableEnd																											
